Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Díaz y Olivares, Joaquin sustentante   Protesis velo palatina /   1960
Diez Gonzalez Cosio, Jorge sustentante   El ahorro publico en el desarrollo economico de Mexico /   1960
Domínguez Padilla, Gempo sustentante   Utilizacion de fosforitas mexicanas en la obtencion electrotermica de fosforo elemental /   1960
Doring Hermosillo, Carlos sustentante   Consecunecias juridicas del parentesco en el Derecho mexicano /   1960
Dosal de la Vega, Eduardo sustentante   El problema de la independencia en el contador publico como comisario de las Sociedades Anonimas /   1960
Duarte Amaya, Francisco sustentante   La responsabilidad internacional del estado /   1960
Duarte Castro, Gerardo sustentante   Importancia del archivo permanente de auditoria y algunos aspectos de la auditoria preliminar /   1960
Dueñas Ramirez, Aristides sustentante   Los fraccionamientos simulados y sus efectos juridicos en materia agraria /   1960
Dupinet Mata, Armando sustentante   Reduccion del contenido de azufre en la gasolina desintegrada por redestilacion con petroleo crudo /   1960
Durán Alba, Jorge sustentante   Mejoramiento del factor de potencia, mediante aplicacion de capacitores en el sistema de distribucion de Culiacan, Sinaloa /   1960
Durán Flores, Felipa sustentante   La patria potestad comparativamente considerada /   1960
Durán Flores, Sebastian sustentante   El Ferrocarril Chihuahua al Pacifico y su influencia en la integracion economica de Mexico /   1960
Echeagaray Moreno, Fernando L. sustentante   Abastecimiento de agua potable en Chetumal, Quintana Roo /   1960
Echenique Tejedor, Pedro sustentante   Paso a desnivel en prol. M. Avila Camacho y Vosgos /   1960
Echeverria Coello, Carlos Renan sustentante   Sensibilidad a distintos antibioticos de algunas cepas de bacterias coliformes aisladas de aves enfermas /   1960
Eichelmann Peña, Federico sustentante   Diseno y construccion del oleoducto Tampico-Monterrey /   1960
Eisenberg Wieder, Sara sustentante   Evolucion de los mecanismos de control respiratorio durante la formacion del corazon del embrion de pollo /   1960
Elizalde Perez, Octavio Eduardo sustentante   Hacia una reforma de las estructuras constitucionales /   1960
Elizondo Alarcon, Jorge sustentante   Estudio hidrologico del Rio Fuerte, para los sitios Baigjaqui, Huites y Mahone /   1960
Enriquez Macias, Eduardo sustentante   Estudio experimental de concentracion de arenas cuarzosas como sub-producto de flotacion /   1960
Eroles Gomez, Antonio sustentante   Obtencion industrial del eter dimetilico de almidon de yuca /   1960
Escalante Padilla, Sergio sustentante   El delito de estupro /   1960
Escalona Sánchez, Juan Francisco, sustentante   Aplicación de la topografía e hidrografía en la exploración de aguas subterraneas en la planicie costera de Hermosillo, Son. /   1960
Escobar Espinosa, Enrique sustentante   Informe del servicio social efectuado en Ciudad Guzman, Jalisco /   1960
Escobedo Carlos, Luis Guillermo sustentante   El nitroprusiato sodico como reactivo analitico /   1960
Escobedo, Miguel S. sustentante   La responsabilidad objetiva /   1960
Escudero Costa, Jesus Manuel sustentante   Estudio y pruebas en la sobrealimentacion de motores de combustion interna /   1960
Esparza Luna, Jorge sustentante   Influencia de Ponciano Arriaga y Luis Cabrera en la reforma agraria de Mexico /   1960
Esparza Saucedo, Marcos, sustentante   Estudio del comportamiento de los circuitos eléctricos trifásicos durante las fallas a tierra y descripción de los métodos y aparatos que se emplean para proteger la maquinaria y equipo eléctrico /   1960
Espejo Lima, Hector sustentante   Analisis termico diferencial en la industria de los refractarios /   1960
