Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Rocha Rangel, Juan José sustentante   Cementacion de tuberia de pozos petroleros en el Distrito Frontera Noreste /   1960
Rode Jimenez, Hector sustentante   Canales para riego, revestidos /   1960
Rodriguez Aldaco, Valentin G. sustentante   Estudio geologico regional de la zona ferrifera de Pihuamo, Jalisco /   1960
Rodriguez Aranda, sustentante   El caciquismo y comisariado ejidal /   1960
Rodriguez Cobos, Carlos sustentante   Estudio de funcionamiento del sistema hidraulico Mixcoac-Rio Hondo perteneciente a la desviacion combinada ne el Valle de Mexico /   1960
Rodriguez del Rio, Carmen sustentante   Estudio sobre la organizacion contable de un hospital de zona de instituciones descentralizadas /   1960
Rodriguez Esparragoza, Daniel sustentante   Incidencia de la brucelosis en bovinos destinados a la explotacion lechera en el estado de Puebla /   1960
Rodriguez Fernandez, Diego sustentante   El cuerpo del delito /   1960
Rodriguez García, Maria Concepcion sustentante   Determinacion volumetrica del mercurio con el acido etilen diamino tetracetico y su estudio comparativo con otros metodos /   1960
Rodriguez N., Enrique sustentante   Modificaciones al metodo de valoracion de inventarios /   1960
Rodriguez Prieto, Arturo sustentante   Calculo estructural de un puente en balcon continuo /   1960
Rodriguez Ruiz, Indalecio sustentante   Edificio de concreto reforzado de 8 pisos disenado contra sismos /   1960
Rodriguez Saavedra, Amelia sustentante   Determinacion cuantitativa de proteinas, fosforo y vitamina B12 en levaduras /   1960
Rodriguez Silva, Jorge sustentante   Los principios generales del derecho /   1960
Rodriguez Toledo, Gustavo sustentante   Diseno de una roseta de paraboloides hiperbolicas /   1960
Rojas Gyves, Myrna Elda sustentante   Osteoplastias de la mandibula /   1960
Rojas Ramirez, Cesar Armando sustentante   Analisis de dietas avicolas a base de garbanzo : determinacion cromatografica de amino acidos basicos /   1960
Rojas Roa, Froylan sustentante   El seudonimo /   1960
Roji Uribe, Luis sustentante   Edificio de concreto armado situado en un lote en pan-coupe /   1960
Rojo y de Regil, Eduardo sustentante   Anteproyecto de una planta de anhidrido maleico obtenido por la oxidacion catalitica de benceno en fase de vapor /   1960
Romero Beltran, Faine Elidee sustentante   La tipicidad y su aspecto negativo /   1960
Romero Campa, Marlene Irma sustentante   La saturacion industrial /   1960
Romero Duarte, Ana Maria sustentante   Estudio del uso y control de los principales desnaturalizantes que marca la Ley de impuestos a las industrias de alcohol y aguardiente en vigor /   1960
Romero Farias, Humberto sustentante   La compra venta C.I.F. /   1960
Romero Morales, Luis Javier sustentante   Sugestiones para la reorganizacion de las Oficinas Federales de Hacienda /   1960
Romero Nava, Guillermo sustentante   Los alimentos aspecto social de su reglamentacion juridica /   1960
Roqueni Ornelas, Gabriel sustentante   Cascarones de concreto reforzado y presforzado : estudio experimental de deformaciones bajo cargas de larga duracion en cascarones tipo sombrilla /   1960
Rosal Zubiri, Antonio Rafael del sustentante   Aspectos de la organizacion agraria en relacion con el problema agrario en Mexico /   1960
Rosas y Murguia, Carlos sustentante   Fracturas maxilofaciales y su tratamiento /   1960
Rosenfeld Span, Pablo sustentante   Proyecto electrico de una planta generadora con turbinas de gas /   1960
Roz Pena, Arcelia de la sustentante   Productos de rearreglo de algunas hidrazinas de la 2-ciano ciclohexanona /   1960
Ruano Uribe, Roberto sustentante   Plano regulador de Campeche, Camp. /   1960
Rubio Romero, Jorge sustentante   Conversion de esmilagenina a derivados androstan amino substituidos en C-16 : nuevos metodos para la deshidrogenacion de los [delta]4-3 ceto esteroides /   1960
Rubio Ruiz, Jaime Maximo sustentante   Exploraciones de uranio en la Comarca Lagunera /   1960
Rueda Villasante, Octavio sustentante   El motivo y el merito en el acto administrativo /   1960
Ruiz Alvarez de la Cadena, Jorge Alberto sustentante   Diseno y calculo de turbo- ventladores industriales /   1960
Ruiz Becerril, Alonso sustentante   Interpretacion de los registros electricos y su aplicacion al Campo Jiliapa /   1960
Ruiz Cravioto, Omar sustentante   Proyecto preliminar de la cortina de machones celulares para la Presa Torimena /   1960
Ruiz Guerrero, Alberto sustentante   Casa club infantil de la Cruz Blanca neutral /   1960
Ruiz Perez, Rodolfo sustentante   Estructura de concreto para edificio de departamentos /   1960
Ruiz Reyna, Enrique sustentante   El control administrativo y los informes de contabilidad /   1960
Ruiz Rosales, Raquel sustentante   Determinacion fotocolorimetrica de cuerpos cetonicos en sangre y orina por el metodo Fraga /   1960
Ruiz Velazquez, Manuel sustentante   Obtencion de carbon activo a partir de cascarilla de arroz /   1960
Ruvalcaba Iniguez, Juan sustentante   Red de armaduras para una sala de exhibicion /   1960
Saenz de Miera Gamboa, Alejandro sustentante   Los aspectos integrales de la Reforma Agraria en Mexico /   1960
Saenz Ibarra, Enrique sustentante   Estudio sobre la concentracion de una arenisca titano-circonifera mexicana /   1960
Sagues Ortiz, Manuel sustentante   Cooperativa pesquera en Alvarado, Ver. /   1960
Saiso Sempere, Vicente sustentante   Construccion del poblado Anahuac /   1960
Salas Gomez Palacio, Antonio sustentante   Control y regulacion del Rio Hondo anteproyecto de la presa de San Mateo, Nopala /   1960
Salas Guadarrama, Marcelo sustentante   Titularidad y administración de los contratos colectivos /   1960
Salazar López, Jesus sustentante   Estudio comparativo de la superestructura del Puente "La cascada" para carga de F.C. Cooper E-50 /   1960
Salazar Trujillo, Agustin sustentante   Proyecto de puente definitivo para el Rio Tanconchin en el Km. 78+380 del camino Tuxpan-Tampico /   1960
Salcedo Martinez, Enrique sustentante   Proyecto de un puente para sustituir el construido en el Km. 17+000 en el tramo de Parral, Chihuahua, carretera de Cd. Juarez, que se conoce con el nombre de "Puente Santa Barbara" /   1960
Salcedo Valdes, José sustentante   Sulfonacion de hidrocarburos alquil arilicos con anhidrido sulfurico /   1960
Saldana Gomez, Virgilio sustentante   Analisis de estructuras reticulares sometidas a la acción sismica /   1960
Saldana Martinez, Yolanda sustentante   Aspecto de las esporas de streptomyces al microscopio electronico /   1960
Saldivar Quiroz, Antonio sustentante   Estudio de la acción de los antibioticos de uso oral sobre la levadura de cerveza (Saccharomyces cerevisiae) /   1960
Salgado Nava, Miguel Angel sustentante   Proyecto para un aeropuerto auxiliar en la Ciduad de Mexico /   1960
Salgado Rivera, Bernardo sustentante   Algunos aspectos de prevencion de la insolvencia de las empresas /   1960
Salinas Aguilera, Enrique sustentante   Comparacion del valor relativo del california mastitis test con respecto a la prueba de hotis standard, para la deteccion de la mastitis /   1960
Salinas Boisson, Eriberto sustentante   La inspeccion sanitaria de carnes bajo regimen federal en Mexico : su descripcion critica /   1960
Salinas Cuevas, Raul Roberto sustentante   De la filiacion /   1960
Salinas Gamboa, Jorge sustentante   El protesto en la letra de cambio /   1960
Salles Manuel, Juan Claudio sustentante   La interpretacion de los estados financieros de una estacion televisora /   1960
Samperio Peniche, Arturo sustentante   Reconocimiento geologico de la Baquilla de Santa Rosa sobre el Rio Santiago en el estado de Jalisco /   1960
Sanchez Bravo, Fernando sustentante   Purificacion de proteinas con resinas de retardacion ionica /   1960
Sanchez Canales, José Tristan sustentante   La querella /   1960
Sanchez Cavazos, Jorge Jeronimo sustentante   La reparacion constitucional /   1960
Sanchez Elias, Sylvia Amira sustentante   Mantenimiento del virus de la enfermedad de Newcastle en cultivo de celulas heterologas /   1960
Sánchez González, Alvaro sustentante   Proyecto para el edificio del servicio medico legal del D.F. /   1960
Sanchez Gutierrez, Narciso sustentante   Responsabilidad sindical, por indebida aplicacion de la clausula de exclusion /   1960
Sanchez Hernandez, Ramon sustentante   Aspectos contables de la sociedad de responsabilidad limitada /   1960
Sanchez Jimenez, Manuel sustentante   Lagunas de oxidacion en Zumpango, Mexico /   1960
Sanchez Juarez, Julio sustentante   Subcentro civico en Manzanillo, Colima /   1960
Sanchez Landa, Victor sustentante   Estudio analitico de la descarga de aguas negras de Ciudad Juarez, Chih. /   1960
Sanchez Lugo, Manuel sustentante   Las inversiones extrajeras : un regimen juridico /   1960
Sanchez Mauries, Julio Cesar sustentante   Estudio comparativo de tratamientos interno y externo de agua para una casa de calderas /   1960
Sanchez Mejorada Velasco, Octavio sustentante   Planeacion y control de la produccion /   1960
Sanchez Mondragon, José Luis sustentante   Estudio de una estructura de concreto reforzado de quince plantas, que se dedicara a hotel y estara ubicada en el Puerto de Acapulco, Guerrero /   1960
Sanchez Torres, Ana Ma. sustentante   Contribucion al estudio del equilibrio electrolitico humano /   1960
Sanchez Velazquez, Deodato sustentante   Profecto de un taller mecanico para una fabrica moldeadora de plasticos en el Distrito Federal /   1960
Sanchez Vite, Manuel sustentante   La direccion tecnicoadministrativa de la educacion debe ser materia de convenios de coordinacion o federalizacion en todos los estados /   1960
Sanchez Zavalza, Jorge sustentante   Proyecto definitivo del Puente Palma Sala en el camino Villa Cardel-Nautla /   1960
Sandobal Marquez, Rebeca Mariana sustentante   Anteproyecto de una planta piloto para la fabricacion de un esmalte vitreo aplicable a envases de vidrio /   1960
Sandoval de la Fuente, Jorge sustentante   Colaboracion de los particulares con la administración /   1960
Santana Gallo, Salvador sustentante   Obsorcion de los efectos sismicos en las estructuras de los edificios de la Ciudad de Mexico, a la luz del fenomeno ocurrido el 28 de julio de 1957 /   1960
Santiago Robles, Fernando sustentante   La prostodoncia inmediata /   1960
Santinelli Llabres, Humberto sustentante   Levantamientos catastrales del Distrito Federal, trabajos desarrollados y procedimientos empleados /   1960
Santos Acosta, Gilberto Armando sustentante   Los principios generales del derecho y las lagunas de la ley /   1960
Santos Herrera, Maria Elena sustentante   Metodos de laboratorio en el estudio del funcionamiento del tubo renal distal /   1960
Santos Vallejo García, Carlos sustentante   Hospital infantil en Mexico, D.F. /   1960
Saucedo Sasso, Pedro Humberto sustentante   La industria empacadora de carnes en Mexico /   1960
Schega Ortega, Eduardo sustentante   Estructura para descargar el Rio Tlalnepantla en el emisor general del poniente del Valle de Mexico, en proyecto /   1960
Schmitter Martin del Campo, Eduardo sustentante   Estudio microfotometrico de una nebulosa cometaria /   1960
Sefchovich Itzcovich, Elias sustentante   Interacciones fuertes entre particulas elementales /   1960
Segura Diez de Bonila, Juan sustentante   Anteproyecto de una planta para recuperar pedaceria de plasticos /   1960
Selvas Pineda, Fausto sustentante   Algunos aspectos financieros y fiscales de los distribuidores de automoviles /   1960
Sepulveda y de la Fuente, Alberto J. sustentante   la personalidad juridica de las sociedades mercantiles nacionales y extranjeras /   1960
Serrano C., Juan Francisco sustentante   Instituto de Investigaciones Arquitectonicas /   1960
Serrano Migallón, Francisco sustentante   Los problemas socio-economicos /   1960
Sevilla Maldonado, Carlos sustentante   Estudio sobre los sujetos particulares ligados a un procedimiento penal comun /   1960
Shizuru, Jorge sustentante   Escuela practica de agricultura y piscicultura en la Cuenca del Tepalcatepec /   1960
Silva Martinez, Jorge sustentante   El articulo once del Codigo penal para el Distrito y Territorios Federales /   1960
Soberanis Castillo, Maria Irene sustentante   Esterilizacion de los conductos radiculares por ionoforesis y obturacion de los mismos con biocalex /   1960
Soberano Calderon, Claudio sustentante   Consecuencias de la declaracion de ilicitud de la huelga /   1960
Sobol Zaslau, Hector sustentante   Diseno de un equipo para la fabricacion de resinas alquidalicas modificadas a partir de glicerina, anhidrido ftalico y aceite de ricino /   1960
Solana Martagon, Pedro sustentante   Aislamiento e identificacion de micobacterias en exudado nasal de bovinos estabulados /   1960
Solares Gomez, Cesar sustentante   Centro industrial en Monterrey, N.L. /   1960
Solis Armendariz, Sergio Octavio sustentante   Determinacion de los costos de produccion en una fabrica de hilados de algodon (hilos torzales y piolas) /   1960
Solis López, Alma Elvia sustentante   Investigacion sobre la actividad de la enzima inductiva triptofano pirrolasa en higado de rata /   1960
Solis López, Graciela sustentante   Estudio comparativo de algunos metodos de valoracion de sulfadrogas, con el metodo argentometrico /   1960
Solis Velasco, Gracia Elena sustentante   Investigaciones psicologicas sobre la Revolucion Mexicana y su expresion literaria /   1960
Solloa Junco, Alfredo sustentante   Estudio de costos aplicables a una fabrica de cajas de carton corrugado /   1960
Somersille, Evereth G. sustentante   Examen odontopsicologico de el miedo y la ansiedad en el nino /   1960
Sosa Cuellar, José Enrique sustentante   Proyecto de la superestructura del puente del Rio Fuerte sobre el camino Mexico-Nogales /   1960
Sosa Díaz, Alberto sustentante   Cables subterraneos para sistemas de distribucion de energia electrica /   1960
Soto Portilla, Maria Antonieta sustentante   Estudio sobre el aguamiel /   1960
Souto Yanez, Eufemia sustentante   Contribucion al estudio del equilibrio acido basico en los habitantes de la Ciudad de Mexico : evaluacion del patron acido basico al estado de salud, del nacimiento a la edad adulta, en especimenes de sangre capilar /   1960
Spinola Flores, Numa sustentante   Metodos dinamicos para análisis sismico de edificios /   1960
Suarez Arguello, Roberto sustentante   La libertad en el procedimiento penal /   1960
Suarez Belmont, Gonzalo Tomas sustentante   Los principios fundamentales que informan a los supuestos, naturaleza y funciones de la renta vitalicia /   1960
Suarez Gomez, Pedro sustentante   Analisis de dietil OO (isopropil 2 metil 4 pirimidil 6) fosforotidato (diazinon) /   1960
Sura Rodriguez, Susana Cecilia sustentante   Influencia de la ATP-creatina transfosforilasa en el control respiratoria del musculo /   1960
Swerdlin, Greta sustentante   Estudio preliminar sobre algunas modificaciones del funcionamiento del yo despues de crisis inducidas en epilepticos /   1960
Tableros Becerril, Esperanza sustentante   Leyes electorales de Mexico /   1960
Tamayo López Portillo, Jorge sustentante   Proyectos de integracion vial en el estado de Oaxaca /   1960
Tena García, Jorge sustentante   Mercados municipales en Rio Verde, San Luis Potosi /   1960
Teran Medina, Luis R. sustentante   Ensayo interpretativo de las causales del divorcio en el Codigo Civil de 1928 /   1960
Tercero Rojas, Ofelia sustentante   Algunas consideraciones sobre el balance /   1960
Terrazas de la Pena, Eduardo sustentante   Catedral de Cristo Rey Torreon, Coahuila /   1960
Tinoco Benitez, Mario sustentante   Laboratorio del virus en el D.F. /   1960
Tirado Cruz, Arturo M. sustentante   Inclusiones dentarias en general y su tratamiento /   1960
Tlapanco Villasenor, Ernesto sustentante   El credito, factor de desarrollo en las empresas comerciales /   1960
Toache López, Luis A. sustentante   Control automatico de una planta termoelectrica /   1960
Toache López, Luis A. sustentante   Control automatico de una planta termoelectrica /   1960
Torre Rangel, Oscar de la sustentante   Analisis y diseño de la estructura de acero para la graderia del auditorio de academias del Centro Medico del D.F. /   1960
Torres Arpi, Xavier A. sustentante   Instalacion electrica en una fabrica de aviones /   1960
Torres García, Roman sustentante   Planificacion industrial y habitacion obrera Region Lagunera /   1960
Torres Guillen, Francisco R. sustentante   Control contable y adminstrativo de la industria nacional cinematografica /   1960
Torres Morales, Guadalupe sustentante   La coaccion juridica /   1960
Torres Villalobos, Guillermo sustentante   Analisis y diseño de una estructura de concreto cimentada en cascarones /   1960
Toussaint Ysunza, Luis sustentante   Centro educativo materno infantil en Coyoacan, D.F. /   1960
Trejo Gomez, Sergio sustentante   Sistema y control contable en una planta de ensamble /   1960
Treviño Loustaunau, Francisco Joaquin sustentante   Secretaria de Relaciones Exteriores /   1960
Tripp Siqueiros, Francisco sustentante   Determinacion espectrofotometrica del berilio en minerales /   1960
Trueba Abascal, Ricardo sustentante   Molienda optima en molinos de bolas de acero segun la teoria de Daniels aplicada a la industria de pinturas /   1960
Trujillo Cabrera, Ricardo sustentante   Eficiencia termica de la planta a alto vacio preparadora de carga de la Refineria 18 de marzo /   1960
Ulloa Mireles, Alonso sustentante   D-homo rearreglo del 3-acetato de 16 [alfa] metil, 17 [alfa] hidroxi-pregnenolona /   1960
Urrea Lugo, Jaime sustentante   Aspectos mecanicos y electricos en el anteproyecto de una planta metalurgica para obtener uranato de sodio /   1960
Val Calleja, Gabriel del sustentante   Diseno completo de la cimentacion y la estructura de concreto reforzado para un edificio de once pisos /   1960
Valadez Aranda, Fernando C. sustentante   Calculo estructural del pozo de oscilacion del sistema hidroelectrico de Mazatepec /   1960
Valadez Sanchez, Elvira sustentante   Influencia del pH y de otras circunstancias sobre las modalidades que presenta al cristalizar el alumbre de cromo /   1960
Valdes Stefano, Roberto sustentante   Sanciones administrativas en el Departamento del D.F. /   1960
Valdivieso Castaneda, Rene A. sustentante   Pasos practicos para la construccion de dentaduras completas /   1960
Valencia Colores, Mario sustentante   Diseno de un secador rotatorio para caolin /   1960
Valero Fuentes, Alberto sustentante   Modalidades del contrato de compra-venta /   1960
Valladares R., José F. sustentante   Pabellon para estudiantes extranjeros becados /   1960
Valle Ancona, Eduardo del sustentante   Proyecto de un puente para ferrocarril y para camino sobre el Rio Colorado, en Baja California /   1960
Valle García, Javier sustentante   Proyecto de la obra de toma para la Presa Chihuahua /   1960
Valle Zazueta, Jesus Octavio sustentante   El derecho de peticion /   1960
Valles Sanchez, Victoria Eugenia sustentante   Funcion de la desoxiribosa fosfato aldolasa en la sintesis de la desoxiribosa /   1960
Varela Arias, Manuel sustentante   Regimen juridico administrativo de los montes /   1960
Vargas Soleno, Leonardo R. sustentante   Analisis y diseño de un paso a desnivel esviajado /   1960
Vasquez Colmenares, Pedro sustentante   La administración publica mexicana /   1960
Vasquez Limas, Francisco sustentante   Estudio comparativo entre el sistema convencional de trabes y losas y el entrepiso reticular en un edificio de cuatro niveles /   1960
Vazquez de Mercado, Artagnan sustentante   Proyecto de la presa de "Las Ruinas" sobre el Rio San Javier, Valle de Mexico /   1960
Vazquez Domínguez, José Antonio sustentante   Perforacion orientada /   1960
Vazquez Frayre, Rafael sustentante   Campana contra la garrapata en el estado de Durango : 200,000 animales tratados /   1960
Vazquez Sanchez, Rogelio sustentante   La dualidad del ministerio publico en materia penal /   1960
Vazquez Zavala, Ana Maria sustentante   Obtencion de aceite y cera de semilla de chilacayote, (Cucurbita facifolia bouche) /   1960
Vega Lazo, Emilio sustentante   Acondicionamiento de la atmosfera interior de un local para mezclado de polvos higroscopicos /   1960
Vega Palacio, Carlos A. sustentante   Obtencion de C-C. a partir de C.A. por medio de rectificadores /   1960
Velasco Castaneda, Pedro sustentante   Proyecto general de terracerias para el entronque, Tequesquinahua /   1960
Velasco Molina, Hector D. sustentante   Perdidas de calor a traves de las paredes de un horno rotatorio de cemento utilizando aislante entre la caraza y el ladrillo refractario /   1960
Velasquez Gonzalez, Jorge Emanuel sustentante   La organizacion y financiamiento de escuelas de ensenanza comercial incorporada /   1960
Velazquez de la Fuente, Gustavo sustentante   Calculo de una bateria de extraccion para la lixiviacion de minerales oxidados de cobre /   1960
Velazquez Regalado, Salvador sustentante   La auditoria interna en las instituciones de seguros. (Bases para su implantacion y desarrollo) /   1960
Velazquez Rivera, Eduardo sustentante   Situacion juridica del piloto aviador /   1960
Velazquez Villegas, German sustentante   Comparacion economica entre losas planas de concreto armado y arcos de mamposteria o concreto simple para superestructuras de alcantarillas y puentes para un camino carretero /   1960
Vergara Casas, Juan sustentante   Analisis industrial de sistemas de solvente en lacas nitrocelulosicas /   1960
Vidales Albarrán, Humberto sustentante   Analisis de la mecanica de los procesos litorales /   1960
Vidales Sobrevilla, Ricardo sustentante   La persona humana y el derecho del trabajo /   1960
Vilchis Aquera, Luis sustentante   Proteccion de una planta termoelectrica de 10 000 Kw /   1960
Vilchis Vivero, Juan José sustentante   Desarrollo del Campo Jiliapa /   1960
Vildosola Prieto, Javier sustentante   Proyecto de puente carretero sobre el Rio San Juan, Tamps. /   1960
Villa Flores, Manuel sustentante   Diseno y operacion de una planta recuperadora de los disolventes usados en la fabricacion de lacas nitrocelulosicas /   1960
Villamar Vigueras, Manuel Juán sustentante   Calculo de las reservas de gas y condensado, en las arenas FM-12 Ay FM-13, del Campo Fco. Cano, Dto. Noreste /   1960
Villamar Vigueras, Manuel Juán sustentante   Calculo de las reservas de gas y condensado en las Arenas FM-12A y FM-13, del Campo Francisco Cano, Dto. noreste /   1960
Villar Conejos, Paulino sustentante   El presupuesto en la industria manufacturera de equipo para el manejo de materiales /   1960
Villarreal Aguilar, Alonso sustentante   La requisicion /   1960
Villarreal Cárdenas, Lino sustentante   Alcantarillado en Cholula, Puebla /   1960
Villarreal Garza, Maria del Carmen sustentante   Contribucion al estudio de los glucosidos presentes en las vainas y semillas del laurel rosa (Nerium oleander) /   1960
Villarreal Martinez, Oscar sustentante   Clinica para el tratamiento de enfermedades mentales en el D.F. /   1960
Villarreal Rubalcava, Homero sustentante   Los niveles de colesterol sanguineo en relacion con los estados emocionales /   1960
Villegas Bello, Oscar F. sustentante   Proyecto de un aeropuerto en Ciudad Obregon, Son., incluyendo lo siguiente : estudio de vientos, localizacion, estudio topografico, proyecto de pistas, drenaje iluminacion, procedimientos de construccion y presupuesto /   1960
Viqueira, Carmen sustentante   Aplicacion del psicodiagnostico de Rorschach a la antropologia /   1960
Vizcaino Perez, José Angel sustentante   Estudiar para aprender o para examinarse? /   1960
Warnholtz Bustillos, Jorge sustentante   Calculo hidraulico y estructural del emisor general del poniente del Valle de Mexico en proyecto /   1960
Waserman Rubinstein, Manuel sustentante   El contador publico : un factor en el desarrollo de las empresas /   1960
Yeomans Martinez, Ruben Cuauhtemoc sustentante   Trabajo sobre la prueba de pirogenos en agua inyectable /   1960
Ysunza Ortiz, Carlos sustentante   El análisis vectorial y sus aplicaciones a la ingenieria /   1960
Yuren Alvarez, Minerva sustentante   Estudio sobre las amidas del acido 3 B hidroxi [delta] 5,16 etiadienico /   1960
Zaldivar Perez, Eliseo W. sustentante   Calculo del equipo de bombeo para el Ingenio Puruaran estado de Michoacan : fabricacion azucar Zafra /   1960
Zamarripa Martinez, Mario sustentante   El departamento de auditoria interna en los bancos de deposito /   1960
Zambrana Castillo, Lisandro sustentante   Enfermedades de la pulpa y de la zona periapical /   1960
Zamora Castro, Enrique sustentante   Aspectos basicos de teoria economica /   1960
Zamora Rodriguez, Jorge sustentante   Dietetica en odontologia /   1960
Zamudio Torres, Jorge sustentante   Puente continuo en concreto pre-esforzado situado en Alpuyeca, camino Mexico-Acapulco /   1960
Zavala Arredondo, Gaspar sustentante   Consideraciones sobre el jurado popular /   1960
Zazueta López, Vito Alessio sustentante   La radiografia en el diagnostico oral /   1960
Zorrivas Romero, Augusto sustentante   La contabilidad, los cerebros electronicos y el contador publico /   1960
Zundelvevich Shapiro, Samuel sustentante   Estudio critico de la literatura sobre adherencia en concreto /   1960
Zuniga Campos, Gerardo sustentante   Centro de rehabilitacion para lisiados del sistema musculo esqueletico /   1960
Álvarez Junco, Salvador, sustentante   Determinación de las condiciones de operación en una planta de arseniato de calcio /   1960
Corona O., Alberto, sustentante   Cálculo y diseño de un horno eléctrico de atmósfera inerte para el recocido de alambre de cobre /   1960
Delgado Santos, Marina, sustentante   "Modificación a la técnica de Brown para la determinación de urea en sangre" /   1960
Echeverría de Acha, Javier, sustentante   Preparación para el curtido de pieles ligeras /   1960
Fonseca Fabela, María Teresa, sustentante   Variaciones fisiológicas diurnas del hierro sérico y de la velocidad de recambio del hierro radioactivo en adultos normales /   1960
Gómez Limón Isela, sustentante   "Estudio comparativo de la prueba de Sellek-Frade con las de Hejda, Hanger y Maclagan en enfermos hepáticos /   1960
Gorozpe Vila, Ana María, sustentante   Ensayo potenciométrico de la enzimas "fosfatasa láctea" /   1960
Guillén Gutiérrez, María Josefina, sustentante   Control bacteriológico de las aguas purificadas en la Ciudad de México /   1960
Kunhardt de la Garza, Ana, sustentante   Control microbiológico de quince muestras de harina de trigo /   1960
Landa de la Rosa, Eduardo, sustentante   Anteproyecto de una estación de recibo para enfriamiento de leche fresca /   1960
Lomelí Escalante, Aristeo Arturo sustentante   Investigación motivacional del consumo de azúcar del mexicano /   1960
López de Llergo Villagómez, Ana Teresa, sustentante   Estudio de las condiciones de deshidratación del jugo de limón /   1960
Mantecón G., Josefina, sustentante   Estudio sobre el tratamiento de la gasolina F.C.C. producida en la Refineria ''18 de marzo" /   1960
Mayagoitia Talamante, María del Socorro, sustentante   Estudio comparativo entre el uso de inhibidores y la neutralización de agua ácida, para evitar la corrosión en la destilación primaria de crudo /   1960
Meade García de León, Luis M., sustentante   Cálculo de entropías por medio de computadores electrónicos /   1960
Murcio Velasco, José Francisco, sustentante   Estudio y diseño de una cámara de fumigación /   1960
Narváez Gama, Socorro, sustentante   "Determinación del plomo en el agua potable por el método la ditizona" /   1960
Nava Bolaños, Rosa María, sustentante   Estudio de la acción de un lisado filtrado de salmonellas y Bacilo coli /   1960
Olmedo Badia, María Rosa, sustentante   Estudio sobre la obtención de pulpas celulósicas, por diferentes procesos, a partir del desperdicio de la industria ixtlera /   1960
Palacios Flores, Dolores, sustentante   Fórmula leucocitaria :   valores normales en el adulto, del error por distribución en frotis hechos en cubreobjetos /   1960
Quintana Echegoyen, Carlos sustentante   Centro turistico y locales para convenciones y congresos en el Distrito Federal /   1960
Sánchez Juárez, Julio sustentante   Subcentro civico en Manzanillo, Colima /   1960
